Nombre,Posicion,Equipo,Estado,% Titular,% Jugado,Forma Jugado,Promedio Picas,Promedio Sofas,Promedio Media,Total Puntos Medias,Forma Puntos Medias,Valor [En miles],Comparativo
Morlanes,MC,Villarreal,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,250.0,0.0
San Emeterio,MC,Cádiz CF,Disponible,0%,67%,2,0.0,2.5,1.5,3.0,3.0,270.0,5.556
Álex Centelles,DF,Almería,Lesionado,0%,33%,1,-6.0,0.0,-3.0,-3.0,-3.0,190.0,-15.789
De la Hoz,MC,Almería,Disponible,0%,33%,1,6.0,3.0,5.0,5.0,5.0,1370.0,3.65
Melero,MC,Almería,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1660.0,0.0
Giovanni González,DF,Mallorca,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Dominik Greif,PT,Mallorca,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Javi Hernández,DF,Girona,Disponible,0%,67%,2,2.0,2.5,2.5,5.0,5.0,940.0,2.66
Bongonda,DL,Cádiz CF,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0
Toni Villa,MC,Girona,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0
Momo Mbaye,DF,Cádiz CF,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Gabriel Paulista,DF,Valencia,Disponible,33%,33%,1,6.0,5.0,6.0,6.0,6.0,2920.0,2.055
Leo Baptistão,DL,Almería,Disponible,0%,67%,2,2.0,3.0,3.0,6.0,6.0,2270.0,1.322
Alex Sola,DF,Real Sociedad,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,430.0,0.0
Giménez,DF,Atlético,Disponible,33%,67%,2,2.0,4.5,3.5,7.0,7.0,2980.0,1.174
Brian Ocampo,DL,Cádiz CF,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1110.0,0.0
Javi Sánchez,DF,Real Valladolid,Disponible,67%,67%,2,0.0,3.5,2.0,4.0,4.0,400.0,5.0
Iñigo Martínez,DF,Athletic,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,3900.0,0.0
Ander Herrera,MC,Athletic,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0
Danjuma,DL,Villarreal,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,4310.0,0.0
Houboulang Mendes,DF,Almería,Disponible,0%,33%,1,2.0,1.0,2.0,2.0,2.0,270.0,7.407
Juanmi Latasa,DL,Getafe,Disponible,0%,33%,1,0.0,3.0,2.0,2.0,2.0,410.0,4.878
Lekue,DF,Athletic,Disponible,33%,33%,1,6.0,8.0,7.0,7.0,7.0,530.0,13.208
Kiko Femenía,DF,Villarreal,Disponible,0%,33%,1,2.0,3.0,3.0,3.0,3.0,1210.0,2.479
Kondogbia,MC,Atlético,Disponible,33%,33%,1,-2.0,5.0,2.0,2.0,2.0,1750.0,1.143
Lucas Boyé,DL,Elche,Disponible,0%,67%,2,2.0,2.5,2.5,5.0,5.0,3600.0,0.694
Verdú,DF,Elche,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,240.0,0.0
Carlos Dominguez,DF,Celta,Disponible,0%,33%,1,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Pacheco,PT,Almería,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1380.0,0.0
Montoya,DF,Betis,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Reguilón,DF,Atlético,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,3570.0,0.0
Carlos Fernández,DL,Real Sociedad,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,630.0,0.0
Montiel,DF,Sevilla,Disponible,33%,33%,1,2.0,2.0,2.0,2.0,2.0,580.0,3.448
El Bilal Touré,DL,Almería,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,650.0,0.0
Agirrezabala,PT,Athletic,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,160.0,0.0
Ez Abde,DL,Osasuna,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0
Luca de la Torre,MC,Celta,Disponible,0%,33%,1,0.0,3.0,2.0,2.0,2.0,940.0,2.128
Munir,DL,Getafe,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,840.0,0.0
Hermoso,DF,Atlético,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,490.0,0.0
Rubén Alcaraz,MC,Cádiz CF,Duda próximo partido,0%,0%,0,0.0,0.0,0.0,0.0,0.0,810.0,0.0
Odriozola,DF,Real Madrid,Duda próximo partido,0%,0%,0,0.0,0.0,0.0,0.0,0.0,330.0,0.0
Clerc,DF,Elche,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,400.0,0.0
Álex Fernández,MC,Cádiz CF,Disponible,0%,33%,1,2.0,2.0,2.0,2.0,2.0,1530.0,1.307
Gui,MC,Almería,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,190.0,0.0
Reinier,MC,Girona,Disponible,0%,67%,2,2.0,2.5,2.5,5.0,5.0,1490.0,1.678
Álvaro Giménez,DL,Cádiz CF,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Ibrahima Kébé,MC,Girona,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Paulo Gazzaniga,PT,Girona,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1180.0,0.0
Ruiz de Galarreta,MC,Mallorca,Disponible,0%,33%,1,0.0,3.0,2.0,2.0,2.0,330.0,6.061
Suso,DL,Sevilla,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1040.0,0.0
Iza,DF,Cádiz CF,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,250.0,0.0
Alejandro Balde,DF,Barcelona,Disponible,67%,67%,2,8.0,5.0,7.0,14.0,14.0,2670.0,2.622
Feddal,DF,Real Valladolid,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1580.0,0.0
Guardado,MC,Betis,Disponible,0%,33%,1,0.0,0.0,0.0,0.0,0.0,220.0,0.0
Borja García,MC,Girona,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,290.0,0.0
Jorge Cuenca,DF,Villarreal,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,560.0,0.0
Dani Gómez,DL,Espanyol,Disponible,0%,33%,1,0.0,2.0,1.0,1.0,1.0,1140.0,0.877
Garrido,MC,Cádiz CF,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Pedrosa,DF,Espanyol,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1130.0,0.0
Joaquín,MC,Betis,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,310.0,0.0
Roberto Torres,MC,Osasuna,Disponible,0%,33%,1,0.0,3.0,2.0,2.0,2.0,510.0,3.922
Bellerín,DF,Barcelona,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1920.0,0.0
Piqué,DF,Barcelona,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1520.0,0.0
Kevin Vázquez,DF,Celta,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,180.0,0.0
Bebé,DL,Rayo Vallecano,Disponible,0%,33%,1,2.0,2.0,2.0,2.0,2.0,210.0,9.524
Pol Lirola,DF,Elche,Lesionado,67%,67%,2,0.0,3.5,2.0,4.0,4.0,1420.0,1.408
Álex Collado,MC,Elche,Disponible,67%,67%,2,10.0,8.0,9.0,18.0,18.0,3650.0,2.466
Andoni Zubiaurre,PT,Real Sociedad,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Militão,DF,Real Madrid,Disponible,67%,67%,2,2.0,4.0,3.0,6.0,6.0,6600.0,0.455
Alberto Moreno,DF,Villarreal,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,220.0,0.0
Keidi Bare,MC,Espanyol,Disponible,0%,67%,2,2.0,3.5,3.0,6.0,6.0,610.0,4.918
Lass,MC,Rayo Vallecano,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Guevara,MC,Real Sociedad,Disponible en observación,0%,0%,0,0.0,0.0,0.0,0.0,0.0,170.0,0.0
Sobrino,DL,Cádiz CF,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
Pepe Reina,PT,Villarreal,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,500.0,0.0
Álvaro Bastida,MC,Cádiz CF,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Rodrygo,DL,Real Madrid,Disponible,0%,33%,1,6.0,6.0,6.0,6.0,6.0,5000.0,1.2
Mario Suárez,MC,Rayo Vallecano,Disponible,0%,33%,1,0.0,2.0,1.0,1.0,1.0,150.0,6.667
Cristian Rivero,PT,Valencia,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Pozo,DF,Almería,Disponible,33%,33%,1,6.0,8.0,7.0,7.0,7.0,1990.0,3.518
Justin Kluivert,DL,Valencia,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,4610.0,0.0
Casilla,PT,Getafe,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,260.0,0.0
Braian Cufré,DF,Mallorca,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,200.0,0.0
Lunin,PT,Real Madrid,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,200.0,0.0
Amath,DL,Mallorca,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
